2020-12-10 20:58:11 |WARN  |http-nio-8080-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=201, msg=失败)]
2020-12-10 21:41:09 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 21:43:51 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 21:44:28 |WARN  |http-nio-8080-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=207, msg=根据id查询车辆为空)]
2020-12-10 21:44:59 |WARN  |http-nio-8080-exec-2 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=207, msg=根据id查询车辆为空)]
2020-12-10 21:48:03 |WARN  |http-nio-8080-exec-9 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=207, msg=根据id查询车辆为空)]
2020-12-10 21:50:57 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 21:51:25 |WARN  |http-nio-8080-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=207, msg=根据id查询车辆为空)]
2020-12-10 21:54:21 |WARN  |http-nio-8080-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [CarException(code=207, msg=根据id查询车辆为空)]
2020-12-10 21:54:55 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 22:00:12 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 22:08:04 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 22:14:34 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-10 22:21:40 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
